clinic_name,clinic_type,address,old_address,ward,prov,latitude,longitude,price,phone,website,operating_hours,license_number,license_issue_date,description,target_groups,ggmaps_link,min_age,max_age,address_2,address_3,psychiatris_or_psychologist
Bệnh viện Đại học Y Dược TPHCM,Bệnh viện công lập,"215 Hồng Bàng, Phường Chợ Lớn, Thành phố Hồ Chí Minh","215 Hồng Bàng, Phường 11, Quận 5",Phường Chợ Lớn,Thành phố Hồ Chí Minh,10.7554425,106.6644612,"20,000₫-200,000₫ (tuỳ loại hình khám thường/dịch vụ)","1900 7178
",https://bvdaihoc.com.vn,"Thứ 2 - Thứ 6: 4h30 - 16h30
Thứ 7: 4h30 - 11h30",,,"Cung cấp dịch vụ đánh giá sức khoẻ tâm thần; Thăm khám, chữa bệnh về tâm lý/ tầm thần",Nhân viên Y tế; Người bệnh mạn tính; Người có H; Cộng đồng LGBTQ+; Nạn nhân buôn bán người,https://www.google.com/maps/search/?api=1&query=215%20H%E1%BB%93ng%20B%C3%A0ng%2C%20Ph%C6%B0%E1%BB%9Dng%20Ch%E1%BB%A3%20L%E1%BB%9Bn%2C%20Th%C3%A0nh%20ph%E1%BB%91%20H%E1%BB%93%20Ch%C3%AD%20Minh,16,,,,Psychiatrist; Psychologist
Bệnh viện Chỉnh hình PHCN,Bệnh viện công lập,"1A Lý Thường Kiệt, Phường Tân Sơn Nhất, Thành phố Hồ Chí Minh","1A Lý Thường Kiệt, Phường 7, Quận Tân Bình",Phường Tân Sơn Nhất,Thành phố Hồ Chí Minh,10.7888141,106.6531156,,(028) 3971 2960,https://benhvien1a.com/dat-lich-kham/,"Thứ 2 - Thứ 6: 7h00 - 16h30
Thứ 7: 7h00 - 11h30",,,,Nhân viên Y tế; Người bệnh mạn tính; Người có H; Cộng đồng LGBTQ+; Nạn nhân buôn bán người,,,,,,
Bệnh viện Quân Y 175,Bệnh viện công lập,"786 Nguyễn Kiệm, Phường Hạnh Thông, Thành phố Hồ Chí Minh (Quận Gò Vấp cũ)","786 Nguyễn Kiệm, Phường 3, Quận Gò Vấp",Phường Hạnh Thông,Thành phố Hồ Chí Minh,10.8175833,106.6805148,"200,000₫-600,000₫ (khám chuyên khoa; giá thay đổi theo BHYT/dịch vụ)","1900 1175
",,"Thứ 2 - Thứ 6: 
  - Sáng: 7h00 - 11h30
  - Chiều: 13h30 - 16h30

Thứ 7: 7h00 - 11h30

Cấp cứu 24/24",,,"Bệnh viện đa khoa tuyến cuối của Quân đội khu vực phía Nam, tiếp nhận cả quân nhân và người dân. Có Khoa Tâm thần (A6) riêng biệt cùng Khoa Nội thần kinh (A7).",Nhân viên Y tế; Người bệnh mạn tính; Người có H; Cộng đồng LGBTQ+; Nạn nhân buôn bán người,,16,,,,Psychiatrist
Bệnh viện Thống Nhất,Bệnh viện công lập,"Số 1 Lý Thường Kiệt, Phường Tân Sơn Nhất, Thành phố Hồ Chí Minh","Số 1 Lý Thường Kiệt, Phường 7, Quận Tân Bình",Phường Tân Sơn Nhất,Thành phố Hồ Chí Minh,10.7915459,106.6534742,,"028 3869 0277
CSKH 1: 1900 2345 47
CSKH 2: 1900 6163 95
",,Thứ 2 - Thứ 7: 6h00 - 16h30,,,"Bệnh viện công lập lâu đời (từ 1975) trực thuộc Bộ Y tế, chăm sóc cán bộ trung cao cấp và người dân. Có Khoa Nội Thần kinh & Ngoại Thần kinh (đột quỵ, phẫu thuật thần kinh) nhưng chưa xác nhận công khai khoa Tâm thần/Tâm lý riêng.",Nhân viên Y tế; Người bệnh mạn tính; Người có H; Cộng đồng LGBTQ+; Nạn nhân buôn bán người,,16,,,,
Bênh viện 7A,Bệnh viện công lập,"466 Nguyễn Trải, Phường An Đông, Thành phố Hồ Chí Minh",,Phường An Đông,Thành phố Hồ Chí Minh,10.7558263,106.6709538,,"028 3924 4879
Hotline tư vấn: 028 38366789
",,,,,,Nhân viên Y tế; Người bệnh mạn tính; Người có H; Cộng đồng LGBTQ+; Nạn nhân buôn bán người,,,,,,
Bệnh viện Nhân Dân 115,Bệnh viện công lập,"527 Sư Vạn Hạnh, Phường Hoà Hưng, Thành phố Hồ Chí Minh",,Phường Hoà Hưng,Thành phố Hồ Chí Minh,10.7749334,106.6675653,,"1900 099983
Số điện thoại để đăng ký khám bệnh: (028)38 683 496",,,,,"Bệnh viện đa khoa hạng I, mũi nhọn Tim mạch - Thần kinh - Thận niệu - Ung bướu. Có Trung tâm/Khoa Thần kinh (đột quỵ, nội thần kinh, ngoại thần kinh) nhưng chưa xác nhận công khai có khoa Tâm thần/Tâm lý lâm sàng riêng - nên gọi trước để hỏi cụ thể.",Nhân viên Y tế; Người bệnh mạn tính; Người có H; Cộng đồng LGBTQ+; Nạn nhân buôn bán người,,,,,,
Bệnh viện Bưu Điện Thành Phố,Bệnh viện công lập,"Lô B9, Đường Thành Thái, Phường Hoà Hưng, Thành phố Hồ Chí Minh",,Phường Hoà Hưng,Thành phố Hồ Chí Minh,10.780271,106.6604498,,"Số điện thoại 1: 028 3864 9834
Số điện thoại 2: 028 3864 9836
Số điện thoại 3: 028 3864 9837
",www.bvdkbuudien.com.vn,,,,,Nhân viên Y tế; Người bệnh mạn tính; Người có H; Cộng đồng LGBTQ+; Nạn nhân buôn bán người,,,,,,
Bệnh viện 30/4,Bệnh viện công lập,"9 Sư Vạn Hạnh, Phường An Đông, Thành phố Hồ Chí Minh",,Phường An Đông,Thành phố Hồ Chí Minh,10.7591033,106.6730315,,"Số điện thoại 1: 069 333 64 68
Số điện thoại 2: 069 333 64 68",,,,,,Nhân viên Y tế; Người bệnh mạn tính; Người có H; Cộng đồng LGBTQ+; Nạn nhân buôn bán người,,,,,,
Bệnh viện Nhân Dân Gia Định,Bệnh viện công lập,"Số 1 Nơ Trang Long, Phường Gia Định, Thành phố Hồ Chí Minh",,Phường Gia Định,Thành phố Hồ Chí Minh,10.8037471,106.6941388,"30,000₫-230,000₫ (khám thường - khám chuyên khoa)",Số điện thoại: 02838412692 ,,,,,"Bệnh viện đa khoa hạng I lâu đời (từ đầu TK 20). Có Khoa Nội Thần Kinh chuyên sâu (đột quỵ, thần kinh trung ương/ngoại biên) nhưng chưa xác nhận công khai có khoa Tâm thần/Tâm lý lâm sàng riêng.",Nhân viên Y tế; Người bệnh mạn tính; Người có H; Cộng đồng LGBTQ+; Nạn nhân buôn bán người,,16,,,,
Bệnh viện Nguyễn Tri Phương,Bệnh viện công lập,"468 Nguyễn Trãi, Phường An Đông, Thành phố Hồ Chí Minh",,Phường An Đông,Thành phố Hồ Chí Minh,10.7550025,106.6705345,,,,,,,"Bệnh viện đa khoa hạng I tuyến thành phố. Có Khoa Tâm thần kinh chuyên khám và điều trị cả bệnh lý thần kinh (động kinh, Parkinson, sa sút trí tuệ) lẫn rối loạn tâm thần/tâm lý (trầm cảm, tâm thần phân liệt, rối loạn lưỡng cực, rối loạn lo âu).",Nhân viên Y tế; Người bệnh mạn tính; Người có H; Cộng đồng LGBTQ+; Nạn nhân buôn bán người,,16,,,,Psychiatrist
